sku,navn,type,leverandor,merke,serie,kategori,nåpris,førpris,farge,tekstil,bredde_cm,høyde_cm,sittehøyde_cm,sittedybde_cm,url
322403,Signature Collection By Halvor Bakke,3 seter,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 700,3 seter,30231,,Grå,Tobias Shadow,224,73,43,54,https://checkout.bohus.no/sofa/3-seter/signature-700-3-seter-sofa-3
322404,Signature Collection By Halvor Bakke,3 seter,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 700,3 seter,30231,,Beige/natur,Sebastian Liver,224,73,43,54,https://checkout.bohus.no/sofa/3-seter/signature-700-3-seter-sofa-4
322436,Signature Collection By Halvor Bakke,3 seter XL,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,3 seter,27999,,Beige/natur,Magnus Beige,222,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-seter-sofa-xl
322437,Signature Collection By Halvor Bakke,3 seter XL,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,3 seter,27999,,Grønn,Magnus Forest,222,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-seter-sofa-xl-1
322445,Signature Collection By Halvor Bakke,3 seter XL,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,3 seter,27999,,Beige/natur,Sebastian Liver,222,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-seter-sofa-xl-2
322448,Signature Collection By Halvor Bakke,3 seter XXL,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,3 seter,30665,,Beige/natur,Magnus Beige,242,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-seter-sofa-xxl
322449,Signature Collection By Halvor Bakke,3 seter XXL,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,3 seter,30665,,Grønn,Magnus Forest,242,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-seter-sofa-xxl-1
322450,Signature Collection By Halvor Bakke,3 seter XXL,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,3 seter,30665,,Beige/natur,Sebastian Liver,242,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-seter-sofa-xxl-2
322454,Signature Collection By Halvor Bakke,"3,5 seter med sjeselong XL",Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,"3,5 seter",35368,,Grønn,Magnus Forest,272,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-5-seter-sofa-med-sjeselong-xl-3
322455,Signature Collection By Halvor Bakke,"3,5 seter med sjeselong XL",Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,"3,5 seter",35368,,Beige/natur,Sebastian Liver,272,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-5-seter-sofa-med-sjeselong-xl-4
322458,Signature Collection By Halvor Bakke,"3,5 seter med sjeselong XL",Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,"3,5 seter",35368,,Beige/natur,Magnus Beige,272,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-5-seter-sofa-med-sjeselong-xl-7
322459,Signature Collection By Halvor Bakke,"3,5 seter med sjeselong XL",Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 850,"3,5 seter",35368,,Grønn,Magnus Forest,272,81,45,62,https://checkout.bohus.no/sofa/3-seter/signature-850-3-5-seter-sofa-med-sjeselong-xl-8
