varenummer,navn,variant,leverandor,kategori,nåpris,førpris,rabatt_prosent,ean,lev_varenummer,url,kampanje,antall_varianter
121112,Rossilini 3-seter sofa,Rossilini 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,9999.0,20299.0,51.0,7050733736908,1778716,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossilini-3-seter-sofa/?VariationId=V_5637599265,False,16
120125,Scandinavia hjørnesofa,Scandinavia hjørnesofa,,Alle produkter/Alle sofaer/Sofa/,13999.0,28799.0,51.0,7050733721089,1396300,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/scandinavia-hjornesofa/?VariationId=V_5637587872,False,10
119891,Brooklyn 3-seter,Brooklyn 3-seter,,Alle produkter/Alle sofaer/Sofa/,8999.0,18299.0,51.0,7050733687798,1395005,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/brooklyn-3-seter/?VariationId=V_5637584083,False,9
119847,Roma 2-seter,Roma 2-seter,Furninova,Alle produkter/Alle sofaer/Sofa/,12179.0,24769.0,51.0,7050733675306,2447756,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/roma-2-seter/?VariationId=V_5637580357,False,14
119436,Rossi U-sofa,Rossi U-sofa,,Alle produkter/Alle sofaer/Sofa/,49999.0,101299.0,51.0,7050733632385,1774832,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-u-sofa-119436/?VariationId=V_5637570659,True,12
119487,Evo hjørnesofa,Evo hjørnesofa,Furninova,Alle produkter/Alle sofaer/Sofa/,16999.0,34389.0,51.0,7050733620450,2445418,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/evo-hjornesofa/?VariationId=V_5637609419,True,103
117780,"Monaco 2,5-seter med XL sjeselong","Monaco 2,5-seter med XL sjeselong",,Alle produkter/Alle sofaer/Sofa/,16999.0,34699.0,51.0,7050733568097,1776624,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-25-seter-med-xl-sjeselong/?VariationId=V_5637554970,True,24
117781,Monaco 3-seter med XL sjeselong,Monaco 3-seter med XL sjeselong,,Alle produkter/Alle sofaer/Sofa/,17999.0,36499.0,51.0,7050733568257,1776640,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-3-seter-med-xl-sjeselong/?VariationId=V_5637554987,True,24
116789,Villa hjørnesofa,Villa hjørnesofa,Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,31999.0,65639.0,51.0,7050733529869,2612529,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/villa-hjornesofa/?VariationId=V_5637602826,True,4
113718,Chillux sofa,Chillux sofa,,Alle produkter/Alle sofaer/Sofa/,23999.0,48499.0,51.0,7050733317398,1390400,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/chillux-sofa/?VariationId=V_5637437141,True,30
108067,Hedda sofa,Hedda sofa,Fagerheim,Alle produkter/Alle sofaer/Sofa/,24999.0,51399.0,51.0,,85925,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/hedda-sofa-3205e77c/?VariationId=V_5637446846,True,18
108101,Scandinavia sofa,Scandinavia sofa,,Alle produkter/Alle sofaer/Sofa/,13999.0,28799.0,51.0,,13866,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/scandinavia-sofa/?VariationId=V_5637229343,True,20
122074,"Santo 4,5-seter","Santo 4,5-seter",Furninova,Alle produkter/Alle sofaer/Sofa/,46899.0,93794.0,50.0,7050733760545,2451004,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/santo-45-seter/?VariationId=V_5637609720,False,1
121645,"Ellinor 2,5-seter","Ellinor 2,5-seter",Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,12434.5,24869.0,50.0,7050733751376,2623260,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/ellinor-25-seter/?VariationId=V_5637603593,False,1
121641,"Mandal 2,5-seter","Mandal 2,5-seter",Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,12489.5,24979.0,50.0,7050733751482,2616788,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/mandal-25-seter/?VariationId=V_5637603583,False,1
121465,Lounge hjørnesofa,Lounge hjørnesofa,Hjellegjerde,Alle produkter/Alle sofaer/Sofa/,38899.0,77929.0,50.0,7050733715194,2625900,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/lounge-hjornesofa/?VariationId=V_5637600761,False,2
119890,Brooklyn 2-seter,Brooklyn 2-seter,,Alle produkter/Alle sofaer/Sofa/,7999.0,15999.0,50.0,7050733687743,1395000,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/brooklyn-2-seter/?VariationId=V_5637584078,False,9
119627,Elio 3-seter sofa,Elio 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,9250.0,18499.0,50.0,7340220825506,1115404,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/elio-3-seter-sofa/?VariationId=V_5637576978,True,1
119435,Rossi U-sofa,Rossi U-sofa,,Alle produkter/Alle sofaer/Sofa/,49999.0,100299.0,50.0,7050733632262,1774820,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-u-sofa-119435/?VariationId=V_5637570646,True,12
117220,Monaco Lux 3-seter med åpen ende,Monaco Lux 3-seter med åpen ende,,Alle produkter/Alle sofaer/Sofa/,19999.0,39899.0,50.0,7050733561159,1777625,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-lux-3-seter-med-apen-ende/?VariationId=V_5637552647,True,16
117739,"Monaco 3,5-seter sofa","Monaco 3,5-seter sofa",,Alle produkter/Alle sofaer/Sofa/,15999.0,32099.0,50.0,7050733568011,1776616,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-35-seter-sofa/?VariationId=V_5637554961,True,8
